id,question,A,B,C,D,answer
11,"Trong việc truyền tải điện năng đi xa, để giảm công suất tiêu hao trên đường dây  lần thì cần phải",giảm điện áp xuống n lần.,giảm điện áp xuống  lần.,tăng điện áp lên n lần.,tăng điện áp lên  lần.,"Đáp án: D
Hao phí trên đường dây tải điện được xác định bằng biểu thức:
Nên để  giảm đi n lần thì U tăng lên"
12,Pôlôni  phóng xạ  và biến đổi thành chì Pb. Biết khối lượng các hạt nhân P0; ; Pb lần lượt là:    và . Năng lượng tỏa ra khi một hạt nhân pôlôni phân rã xấp xỉ bằng,.,.,.,.,"Đáp án: A
"
13,Để xác định nhiệt hóa hơi của nước người ta làm thí nghiệm sau. Đưa hơi nước ở vào một nhiệt lượng kế chứa  nước ở Nhiệt độ cuối của hệ là biết nhiệt dung của nhiệt lượng kế là  nhiệt dung riêng của nước là . Nhiệt hóa hơi của nước là,,,,,"Đáp án: B
Ta có"
14,Phát biểu nào sao đây là SAI khi nói về độ phóng xạ (hoạt độ phóng xạ) ?,Độ phóng xạ là đại lượng đặc trưng cho tính phóng xạ mạnh hay yếu của một lượng chất phóng xạ.,Đơn vị đo độ phóng xạ là Becquerel,Với mỗi lượng chất phóng xạ xác định thì độ phóng xạ tỉ lệ với số nguyên tử của lượng chất đó.,Độ phóng xạ của một lượng chất phóng xạ phụ thuộc nhiệt độ của lượng chất đó.,"Đáp án: D
Để đặc trưng cho tính phóng xạ mạnh hay yếu của một lượng chất phóng xạ, người ta dùng đại lượng độ phóng xạ (hay hoạt độ phóng xạ), kí hiệu là H, có giá trị bằng số hạt nhân phân rã trong một giây.
Đơn vị đo độ phóng xạ là Becquerel, kí hiệu là
1 phân rã / 1 giây.
Trong thực tế, độ phóng xạ còn được đo bằng đơn vị Curie, kí hiệu là
Độ phóng xạ  với  là hằng số phóng xạ"
15,Khi nói về khối lượng phân tử của chất khí    và  thì,"khối lượng phân tử của các khí H2, He,O2 và N2 đều bằng nhau.",khối lượng phân tử của O2 nặng nhất trong 4 loại khí trên.,khối lượng phân tử của N2 nặng nhất trong 4 loại khí trên.,khối lượng phân tử của He nhẹ nhất trong 4 loại khí trên.,"Đáp án: B
Khối lượng phân tử của  là
Khối lượng phân tử của là
Khối lượng phân tử của  là
Khối lượng phân tử của  là
Vậy khối lượng phân tử của  nặng nhất trong 4 loại khí trên."
16,Khi ấn từ từ pit tông xuống để nén khí trong xi lanh thì,nhiệt độ khí thay đổi.,"áp suất khí tăng, thể tích khí tăng.",áp suất tỉ lệ thuận với thể tích.,"áp suất khí tăng, thể tích khí giảm.","Đáp án: D
Trường hợp thỏa mãn quá trình đẳng nhiệt khi pit tông nén từ từ."
17,Hạt nhân X phóng xạ biến đổi thành hạt nhân bên Y. Ban đầu (t = 0) có một mẫu chất X nguyên chất. Tại thời điểm  và  tỉ số giữa số hạt nhân Y và số hạt nhân X ở trong mẫu tương ứng là 2 và 3. Tại thời điểm tỉ số đó là,17.,575.,107.,72.,"Đáp án: B
Phương trình phóng xạ: tia phóng xạ.
Tại , tỉ số giữa số hạt nhân con và hạt nhân mẹ là:
Tại , tỉ số giữa số hạt nhân con và hạt nhân mẹ là:
Tại , tỉ số giữa số hạt nhân con và hạt nhân mẹ là:"
18,"Pôlôni là chất phóng xạ  có chu kì bán rã  ngày và biến đổi thành hạt nhân chì. Vào lúc  ngày  một mẫu phóng xạ có khối lượng  được phát hiện, trong đó  khối lượng của mẫu là chất phóng xạ pôlôni  phần còn lại không có tính phóng xạ. Giả sử toàn bộ các hạt  sinh ra trong quá trình phóng xạ đều thoát ra khỏi mẫu. Lấy khối lượng của các hạt nhân bằng số khối của chúng tính theo đơn vị  Vào ngày nào sau đây khối lượng của mẫu có giá trị là",16/2/2024,14/2/2024,28/4/2024,"20/12/2024
Phần II. Câu trắc nghiệm đúng sai. Thí sinh trả lời câu hỏi từ 1 đến 4. Trong mỗi ý a), b), c), d) ở mỗi câu thí sinh chọn đúng hoặc sai.","Đáp án: B
Khối lượng của mẫu có giá trị là vào ngày
PHẦN II. CÂU TRẮC NGHIỆM ĐÚNG SAI. Thí sinh trả lời từ câu 1 đến câu 4. Trong mỗi ý a), b), c), d) ở mỗi câu, thí sinh chọn đúng hoặc sai."
1,"Trong một ngày, một học sinh theo dõi nhiệt độ không khí trong nhà và lập được bảng bên.
a. Nhiệt độ lúc 9 giờ là 270C.
b. Nhiệt độ đạt 310C vào lúc 18 giờ.
c. Lúc 10 giờ thì nhà nóng nhất.
d. Lúc 7 giờ thì nhiệt độ thấp nhất.",,,"b. Nhiệt độ đạt 310C vào lúc 18 giờ.
c. Lúc 10 giờ thì nhà nóng nhất.
d. Lúc 7 giờ thì nhiệt độ thấp nhất.",,"Đáp án: A
Trong điều kiện chuẩn về nhiệt độ và áp suất (điều kiện tiêu chuẩn áp suất 1 atm, nhiệt độ 273 0 K, thể tích 22,4 lít) thì số phân tử trong một đơn vị thể tích của các chất khí khác nhau là như nhau."
2,"Khi tấm kim loại bằng đồng dao động trong từ trường giữa hai cực của một nam châm chữ U.
a. Trong tấm kim loại xuất hiện dòng điện Foucault.
b. Dòng điện trong tấm kim loại là dòng điện cảm ứng.
c. Nhiệt độ của tấm kim loại giảm dần.
d. Dao động của tấm kim loại là dao động tắt dần.",,,,,"Đáp án: A
Khi truyền nhiệt cho một khối khí thì có thể làm tăng nội năng của khối khí, đồng thời khối khí dãn nở và sinh công.
Ví dụ nhiệt lượng cung cấp cho khối khí trong quá trình đẳng áp, ngoài việc dùng để làm nóng khí (tăng nội năng) còn làm cho chất khí dãn nở (khí thực hiện công)."
3,"Một hỗn hợp khí helium và argon ở áp suất  và nhiệt độ  khối lượng riêng  Biết khối lượng mol
a. Khối lượng khí Argon trong hỗn hợp là
b. Số phân tử Argon trong  hỗn hợp khí là
c. Khối lượng khí Helium trong  hỗn hợp khí là
d. Số phân tử Helium trong  hỗn hợp khí là",,,,,"Đáp án: B
Nhiệt lượng là số đo độ biến thiên nội năng của vật trong quá trình truyền nhiệt.
Một vật lúc nào cũng có nội năng nhưng không tham gia vào quá trình truyền nhiệt thì nội năng không biến đổi nên không có nhiệt lượng được nhận thêm hay mất đi."
4,"Uranium  có chu kì bán rã là  năm. Khi phóng xạ  Uranium biến thành Thorium  Ban đầu có  Uranium.
a. Hạt nhân Thorium  bền hơn hạt nhân Uranium
b. Khối lượng Uranium còn lại sau  năm là
c. Số hạt nhân Uranium còn lại sau  năm là 3,7265.1021 hạt nhân.
d. Tỉ số giữa số hạt nhân Uranium còn lại và số hạt nhân Thorium tạo thành sau năm là",,,,,"Đáp án: B
- Phóng xạ là hiện tượng hạt nhân nguyên tử của một số nguyên tố (kém bền vững) tự phóng ra các bức xạ rồi biến đổi thành hạt nhân nguyên tử của các nguyên tố khác (bền vững hơn).
- Như vậy phóng xạ quá trình phân rã tự phát của một hạt nhân không bền vững."
1,"Tính nhiệt lượng (theo đơi vị kJ) cần cung cấp cho miếng nhôm khối lượng 100 gam ở nhiệt độ 200C, để nó hóa lỏng hoàn toàn ở nhiệt độ 6580C. Biết nhôm có nhiệt dung riêng 896 J/kg.K và nhiệt nóng chảy 39.104 J/kg.",,,Biết nhôm có nhiệt dung riêng 896 J/kg.K và nhiệt nóng chảy 39.104 J/kg.,,"Đáp án: A
Trong điều kiện chuẩn về nhiệt độ và áp suất (điều kiện tiêu chuẩn áp suất 1 atm, nhiệt độ 273 0 K, thể tích 22,4 lít) thì số phân tử trong một đơn vị thể tích của các chất khí khác nhau là như nhau."
2,"Khối lượng riêng của một chất khí ở áp suất 300 mmHg là 0,3 kg/m3. Vận tốc căn quân phương của các phân tử khí khi đó gần bằng bao nhiêu?",,,,,"Đáp án: A
Khi truyền nhiệt cho một khối khí thì có thể làm tăng nội năng của khối khí, đồng thời khối khí dãn nở và sinh công.
Ví dụ nhiệt lượng cung cấp cho khối khí trong quá trình đẳng áp, ngoài việc dùng để làm nóng khí (tăng nội năng) còn làm cho chất khí dãn nở (khí thực hiện công)."
3,"Một hỗn hợp phóng xạ có hai chất phóng xạ X và Y. Biết chu kì bán rã của X và Y lần lượt là  và , và lúc đầu số hạt X bằng số hạt Y. Tính khoảng thời gian theo đơn vị h để số hạt nguyên chất của hỗn hợp chỉ còn một nửa số hạt lúc đầu. Kết quả làm tròn đến hai chữ số sau dấu phẩy.",,,,,"Đáp án: B
Nhiệt lượng là số đo độ biến thiên nội năng của vật trong quá trình truyền nhiệt.
Một vật lúc nào cũng có nội năng nhưng không tham gia vào quá trình truyền nhiệt thì nội năng không biến đổi nên không có nhiệt lượng được nhận thêm hay mất đi."
4,Một bình cách nhiệt nhẹ chứa nước ở nhiệt độ t0 = 20°C. Người ta lần lượt thả vào bình này những quả cầu giống nhau đã được đốt nóng đến 100°C. Sau khi thả quả cầu thứ nhất thì nhiệt độ của nước trong bình khi cân bằng nhiệt là t₁ = 40°C. Bỏ qua sự trao đổi nhiệt với bình và môi trường. Giả thiết nước không bị tràn ra ngoài và không tính đến sự bay hơi của nước. Cần phải thả bao nhiêu quả cầu để nhiệt độ của nước trong bình khi cân bằng nhiệt là 90°C?,,,Bỏ qua sự trao đổi nhiệt với bình và môi trường. Giả thiết nước không bị tràn ra ngoài và không tính đến sự bay hơi của nước. Cần phải thả bao nhiêu quả cầu để nhiệt độ của nước trong bình khi cân bằng nhiệt là 90°C?,,"Đáp án: B
- Phóng xạ là hiện tượng hạt nhân nguyên tử của một số nguyên tố (kém bền vững) tự phóng ra các bức xạ rồi biến đổi thành hạt nhân nguyên tử của các nguyên tố khác (bền vững hơn).
- Như vậy phóng xạ quá trình phân rã tự phát của một hạt nhân không bền vững."
5,"Một sóng vô tuyến và một sóng cơ có cùng tần số, khi truyền trong không khí tốc độ hai sóng lần lượt là  và  Tỉ số của bước sóng giữa sóng vô tuyến và sóng cơ bằng bao nhiêu?",,,,,"Đáp án: B
Điện trường xoáy có các đường sức là những đường cong kín, không phải chỉ là những đường cong."
6,"Hiện nay urani tự nhiên chứa hai đồng vị phóng xạ  và  với tỉ lệ số hạt và số hạt  là  Biết chu kì bán rã  và  lần lượt là  năm và  năm. Cách đây bao nhiêu tỉ năm, urani tự nhiên có tỷ lệ số hạt  và số  là (Kết quả làm tròn đến 2 chử số thập phân sau dấu phẩy)?
----------------HẾT----------------
-Thí sinh không được sử dụng tài liệu.
-Giám thị không giải thích gì thêm.",,,,,"Đáp án: A
"
1,Chất lỏng và chất khí có chung đặc điểm nào sau đây?,Luôn chiếm đầy thể tích bình chứa.,Không nén được.,Có thể chảy thành dòng.,Có các phân tử ở những vị trí cố định.,"Đáp án: C
Đặc điểm của chất khí và lỏng"
2,Một quả bong bóng chứa một lượng không khí nhất định. Cách nào sau đây làm tăng nội năng của không khí trong quả bong bóng?,Đặt quả bong bóng vào ngăn mát tủ lạnh.,Cọ xát quả bong bóng vào tóc.,Dẫn toàn bộ không khí trong quả bong bóng sang một bình đựng khác.,Xả bớt không khí trong quả bong bóng ra ngoài.,"Đáp án: B
cọ xát là hình thức thực hiện công làm biến đổi nội năng"
3,Nhiệt hóa hơi riêng của một chất lỏng là,nhiệt lượng cần để làm cho 1 kg chất đó nóng chảy hoàn toàn ở nhiệt độ nóng chảy .,nhiệt lượng cần để làm cho 1 kg chất lỏng đó hóa hơi hoàn toàn ở nhiệt độ xác định .,nhiệt lượng cần để làm cho 1 kg chất đó nóng chảy và hóa hơi hoàn toàn ở nhiệt độ xác định .,nhiệt lượng cần truyền cho 1 kg chất đó để làm cho nhiệt độ của nó tăng thêm 10C .,"Đáp án: B
Định nghĩa nhiệt hóa hơi riêng"
4,"Trong thang nhiệt độ Kenvin, nhiệt độ của nước đang sôi là",0 K,373 K,173 K,100 K,"Đáp án: B
nhiệt độ sôi của nước là 100 0C đổi ra T = 100 + 273 = 373K"
5,Có 400 cm3 khí lý tưởng ở 00C . Nếu được đun nóng ở áp suất không đổi để nhiệt độ tăng lên đến 100C thì khối khí sẽ chiếm thể tích:,415 cm3,283cm3,278 cm3,493 cm3,"Đáp án: A
suy ra V2 = 415 cm3"
6,"Một khối khí lí tưởng thực hiện quá trình biến đổi đẳng tích ở hai thể tích khác nhau được biểu diễn như hình vẽ bên.
Quan hệ giữa V1 và V2 là:",V1 < V2,V1 = V2,V2 = 2V1.,V1 > V2,"Đáp án: D
V1 > V2"
7,Gọi N là số phân tử khí chứa trong bình kín thể tích V. Công thức nào sau đây không biểu diễn mối quan hệ giữa áp suất p của chất khí tác dụng lên thành bình và động năng trung bình  của các phân tử khí?,,,,,"Đáp án: B
Áp dụng:
(TPNL 1.6; CĐTD: Hiểu)."
8,Hai phòng kín có thể tích bằng nhau thông với nhau bằng một cửa mở. Nhiệt độ không khí trong hai phòng khác nhau thì số phân tử trong mỗi phòng so với nhau thì,bằng nhau.,ở phòng nóng nhiều hơn.,ở phòng lạnh nhiều hơn.,tùy kích thước của cửa.,"Đáp án: C
nhiệt độ thấp mật độ phân tử lớn hơn"
9,"Đặt một kim nam châm song song với dòng điện. Khi cho dòng điện chạy qua dây dẫn, ta thấy",Kim nam châm lệch một góc so với phương ban đầu.,Kim nam châm đứng yên.,Kim nam châm quay tròn xung quanh trục.,"Kim nam châm quay trái, quay phải liên tục.","Đáp án: A
lực từ tác dụng theo hướng không đổi
(TPNL 1.1; CĐTD: Biết)."
10,Cách nào sau đây không làm cho từ thông qua tiết diện vòng dây dẫn kín biến thiên?,Quay vòng dây cắt ngang các đường cảm ứng từ của nam châm vĩnh cửu.,Dịch chuyển vòng dây trong điện trường đều sao cho các đường sức song song với mặt phẳng vòng dây.,Đặt mặt phẳng cuộn dây cạnh nam châm điện xoay chiều.,Cho nam châm vĩnh cửu rơi qua vòng dây.,"Đáp án: B
đường sức song song với mặt phẳng vòng dây không có từ thông biến thiên"
11,Một khung dây dẫn gồm 200 vòng có diện tích  và mặt phẳng khung dây vuông góc với cảm ứng từ có độ lớn thay đổi từ  đến  trong 15 ms . Độ lớn suất điện động cảm ứng trong khung dây bằng,"3,20 V","1,02 V","2,50 V","7,01 V","Đáp án: B
= 1,02 V"
12,"Điện áp hiệu dụng thông thường ở mạng điện gia đình là 220 V , điện áp cực đại là",440 V .,311 V .,156 V .,110 V .,"Đáp án: 
U0 = U"
13,Một dây dẫn bằng sắt được uốn thành một vòng tròn và đang được đặt trong vùng từ trường đều với các đường sức từ hướng vuông góc với mặt phẳng vòng dây như hình dưới. Trường hợp nào dưới đây trong vòng tròn không xuất hiện dòng điện cảm ứng,Độ lớn cảm ứng từ được điều chỉnh giảm dần theo thời gian .,Độ lớn cảm ứng từ được điều chỉnh tăng dần theo thời gian.,"Từ vị trí ban đầu, tịnh tiến vòng kim loại sang trái (vòng kim loại vẫn nằm trong vùng từ trường).",Quay vòng dây quanh trục vuông góc với các đường sức.,"Đáp án: C
Không có sự biến thiên từ thông"
14,Sóng điện từ nào sau đây được dùng để kiểm tra hành lí ở sân bay,Tiam Gamma.,Tia X.,Tia hồng ngoại.,Tia tử ngoại.,"Đáp án: B
tính đâm xuyên của tia X mạnh có thể xuyên qua vải, gỗ"
15,"Hạt nhân ; có độ hụt khối là 0,0627 amu. Cho khối lượng của proton và notron lần lượt là 1,0073 amu và 1,0087 amu. Khối lượng của hạt nhân  là","90,068 amu.","5,0090 amu.","9,0100 amu.","5,0086 amu.","Đáp án: C
áp dụng m = Z.mp + (A-Z)mn – mX"
16,"Cho một hạt neutron có động năng lớn đến bắn phá hạt nhân  đang đứng yên để tạo ra phản ứng phân hạch: . Trong phản ứng phân hạch này, năng lượng của phản ứng được xác định bằng hiệu của năng lượng liên kết giữa các hạt nhân sản phẩm với các hạt nhân tham gia phản ứng. Biết năng lượng liên kết riêng của  là 7,59MeV/nucleon,  là 8,29MeV/nucleon  là 8,59MeV/nucleon. Năng lượng của phản ứng tỏa ra bằng .","175,13 MeV","123,23 MeV","120,25 MeV","184,41 MeV","Đáp án: D
áp dụng công thức Et = 140.EXe + 94.ESr – 235EU"
17,"Trong các tia phóng xạ, phát biểu nào sau đây về tia  là sai?",Tia  có khả năng đâm xuyên mạnh.,Tia  là sóng điện từ có bước sóng rất ngắn.,Tia  có thể gây nguy hiểm cho con người.,Tia  bị lệch trong điện trường.,"Đáp án: D
tia  không mang điện"
18,"Một khung dây dẫn hình chử nhật có 100 vòng, diện tích mỗi vòng là 600 cm2, quay đều quanh trục đối xứng của khung với vận tốc 120 vòng/phút trong một từ trường đều có cảm ứng từ bằng 0,2 T. Trục quay vuông góc với các đường cảm ứng từ. Chọn gốc thời gian lúc véc tơ pháp tuyến của mặt phẳng khung dây ngược hướng với véc tơ cảm ứng từ. Biểu thức suất điện động cảm ứng trong khung là","e = 4,8cos(4t + /2) (V).",e = 48cos(4t + /2) (V).,"e = 4,8cos(4t - /2) (V).","e = 48cos(4t - /2) (V).
Phần II: Câu trắc nghiệm đúng - sai","Đáp án: A
từ thông biến thiên theo thời gian:   = 2,4cos(4t +)
e = -’(t) = e = 4,8cos(4t + /2) (V).
Phần II: Câu trắc nghiệm đúng - sai"
1,"Một nhóm học sinh tìm hiểu về sự truyền nhiệt. Họ có các dụng cụ và cách tiến hành như sau:
Dụng cụ
- Cốc nhôm đựng 200 ml nước ở nhiệt độ 30°C (1).
- Bình cách nhiệt đựng 500 ml nước ở nhiệt độ 60°C (2).
- Hai nhiệt kế (3).
Tiến hành: Đặt cốc nhôm vào trong lòng bình cách nhiệt như hình vẽ và quan sát số chỉ nhiệt kế để tìm hiểu về sự truyền nhiệt của chúng
a) Thí nghiệm này có thể kiểm chứng cho kết luận: nhiệt năng truyền từ vật có khối lượng lớn hơn sang vật có khối lượng nhỏ hơn.
b) Nhiệt độ nước trong cốc nhôm (1) tăng dần chứng tỏ nước trong cốc (1) được nhận nhiệt lượng.
c) Nhiệt độ nước ở bình (2) giảm dần chứng tỏ nó thực hiện truyền nhiệt lượng.
d) Sau một thời gian cả hai nhiệt kế chỉ giá trị không đổi và bằng nhau chứng tỏ sự truyền nhiệt năng đã dừng lại khi nước trong hai bình tràn vào nhau có nhiệt độ bằng nhau.",,,,,"Đáp án: C
Đặc điểm của chất khí và lỏng"
2,"Hai bình có cùng thể tích đang chứa khí: bình A chứa khi oxygen (O2) có khối lượng mol nguyên tử là 16 g/mol và bình B chứa khí neon (Ne) có khối lượng mol nguyên tử là 20g/mol, ban đầu nhiệt độ và áp suất khi trong hai bình là như nhau.
a) Các phân tử khí ở hai bình chuyển động hỗn loạn, không ngừng.
b) Số phân từ trong bình B nhỏ hơn số phân từ trong bình A.
c) Động năng trung bình của các phân tử ở hai bình có giá trị bằng nhau.
d) Khối lượng khí ở bình B lớn hơn ở bình A.",,,,,"Đáp án: B
cọ xát là hình thức thực hiện công làm biến đổi nội năng"
3,"Nguyên tử hydrogen có cấu tạo gồm hạt nhân là một proton có điện tích là , lớp vỏ là một electron có điện tích là . Coi electron trong nguyên tử hydrogen chuyển động tròn đều xung quanh hạt nhân với bán kính quỹ đạo là  và vận tốc là  như hình vẽ. Khối lượng của electron là
a) Lực điện mà hạt nhân của nguyên tử hydrogen tác dụng lên electron là lực hút và có độ lớn .
b) Tốc độ chuyển động của electron là .
c) Sự chuyển động của electron quanh hạt nhân tạo nên một dòng điện tròn có cường độ
d) Cảm ứng từ do dòng điện tròn nói trên gây ra tại hạt nhân của nguyên tử hydrogen có chiều như hình vẽ và có độ lớn .",,,,,"Đáp án: B
Định nghĩa nhiệt hóa hơi riêng"
4,"Trên thực tế, nếu một hạt nhân không bền phóng xạ tạo thành hạt nhân mới. Hạt nhân mới cũng không bền tiếp tục phân rã nhiều lần đến khi tạo thành một hạt nhân bền thì quá trình này dừng lại. Tập hợp các hạt nhân từ hạt nhân không bền đầu tiên đến hạt nhân bền cuối cùng được gọi là một họ phóng xạ. Xét sự phóng xạ của họ phóng xạ thorium (bắt đầu với  và kết thúc tại ) với phương trình phóng xạ thu gọn như sau:
a) Phản ứng hạt nhân trên là phản ứng hạt nhân kích thích.
b) Phản ứng hạt nhân trên là phản ứng tỏa năng lượng.
c) Hạt - chính là hạt electron.
d) x và y trong phương trình có giá trị x = 4 và y = 6.
Phần III: Câu trắc nghiệm trả lời ngắn",,,,,"Đáp án: B
nhiệt độ sôi của nước là 100 0C đổi ra T = 100 + 273 = 373K"
1,"Khi thở ra, dung tích của phối là 2,40 lít và áp suất của không khí trong phối là 101,70.103 Pa. Cho biết khi hít vào, áp suất này trở thành 101,12.103 Pa. Dung tích của phối khi hít vào là bao nhiêu lít? (kết quả lấy 2 chữ số sau dấu phẩy thập phân)",,,,,"Đáp án: C
Đặc điểm của chất khí và lỏng"
2,"Một nồi áp suất có van có trọng lượng không đáng kể và một lỗ tròn diện tích 1cm² luôn được áp chặt bởi một lò xo có độ cứng k = 1300 N/m và luôn bị nén 1 cm. Bỏ qua ma sát. Hỏi khi đun khí ban đầu ở áp suất khí quyển p0 = 105 Pa , có nhiệt độ 27°C thì đến nhiệt độ bao nhiêu °C van sẽ mở ra? (kết quả lấy phần nguyên)",,,,,"Đáp án: B
cọ xát là hình thức thực hiện công làm biến đổi nội năng"
3,"Một đoạn dây dẫn nằm ngang được giữ cố định ở vùng từ trường đều trong khoảng không gian giữa hai cực của nam châm. Nam châm này được đặt trên một cái cân như hình bên. Phần nằm trong từ trường của đoạn dây dẫn có chiều dài là . Khi không có dòng điện chạy trong đoạn dây, số chỉ của cân là . Khi có dòng điện cường độ  chạy trong đoạn dây, số chỉ của cân là . Lấy . Độ lớn cảm ứng từ giữa các cực của nam châm bằng bao nhiêu T (làm tròn kết quả đến chữ số hàng phần trăm)?",,,,,"Đáp án: B
Định nghĩa nhiệt hóa hơi riêng"
